set,scene,scene_key,prim_count,heuristic,seed,measurement,run,value_ms
A,Coral,coral,150000,Sah,-,render,5,1054.516640
A,Coral,coral,150000,Random,1,build,1,56.474800
A,Coral,coral,150000,Random,1,build,2,52.833000
A,Coral,coral,150000,Random,1,build,3,56.457300
A,Coral,coral,150000,Random,1,build,4,57.751700
A,Coral,coral,150000,Random,1,build,5,57.437300
A,Coral,coral,150000,Random,1,render,1,691.559320
A,Coral,coral,150000,Random,1,render,2,1058.338400
A,Coral,coral,150000,Random,1,render,3,691.341080
A,Coral,coral,150000,Random,1,render,4,692.898200
A,Coral,coral,150000,Random,1,render,5,694.058560
A,Coral,coral,150000,Random,2,build,1,55.868000
A,Coral,coral,150000,Random,2,build,2,66.573800
A,Coral,coral,150000,Random,2,build,3,63.700700
A,Coral,coral,150000,Random,2,build,4,56.312000
A,Coral,coral,150000,Random,2,build,5,56.871500
A,Coral,coral,150000,Random,2,render,1,2315.137880
A,Coral,coral,150000,Random,2,render,2,2319.507640
A,Coral,coral,150000,Random,2,render,3,688.282000
A,Coral,coral,150000,Random,2,render,4,2311.007120
A,Coral,coral,150000,Random,2,render,5,2311.807200
A,Coral,coral,150000,Random,3,build,1,55.103600
A,Coral,coral,150000,Random,3,build,2,54.809700
A,Coral,coral,150000,Random,3,build,3,61.485000
A,Coral,coral,150000,Random,3,build,4,62.040800
A,Coral,coral,150000,Random,3,build,5,54.747000
A,Coral,coral,150000,Random,3,render,1,3087.532920
A,Coral,coral,150000,Random,3,render,2,3077.371360
A,Coral,coral,150000,Random,3,render,3,3092.175160
A,Coral,coral,150000,Random,3,render,4,2312.561240
A,Coral,coral,150000,Random,3,render,5,3066.697000
A,Coral,coral,150000,Random,4,build,1,59.026400
A,Coral,coral,150000,Random,4,build,2,58.709200
A,Coral,coral,150000,Random,4,build,3,60.286200
A,Coral,coral,150000,Random,4,build,4,59.793300
A,Coral,coral,150000,Random,4,build,5,65.166800
A,Coral,coral,150000,Random,4,render,1,3257.860760
A,Coral,coral,150000,Random,4,render,2,3256.047640
A,Coral,coral,150000,Random,4,render,3,3245.901080
A,Coral,coral,150000,Random,4,render,4,3256.703520
A,Coral,coral,150000,Random,4,render,5,3084.404080
A,Coral,coral,150000,Random,5,build,1,56.977900
A,Coral,coral,150000,Random,5,build,2,50.570900
A,Coral,coral,150000,Random,5,build,3,50.333200
A,Coral,coral,150000,Random,5,build,4,51.179500
A,Coral,coral,150000,Random,5,build,5,51.725300
A,Coral,coral,150000,Random,5,render,1,2036.624760
A,Coral,coral,150000,Random,5,render,2,2032.500960
A,Coral,coral,150000,Random,5,render,3,2048.524840
A,Coral,coral,150000,Random,5,render,4,2041.326000
A,Coral,coral,150000,Random,5,render,5,2027.633720
B,Stanford Dragon,dragon_10k,10000,LongestAxisCentroid,-,build,1,2.036900
B,Stanford Dragon,dragon_10k,10000,LongestAxisCentroid,-,build,2,2.046500
B,Stanford Dragon,dragon_10k,10000,LongestAxisCentroid,-,build,3,2.106900
B,Stanford Dragon,dragon_10k,10000,LongestAxisCentroid,-,build,4,2.096500
B,Stanford Dragon,dragon_10k,10000,LongestAxisCentroid,-,build,5,2.061000
B,Stanford Dragon,dragon_10k,10000,LongestAxisCentroid,-,render,1,1177.957480
B,Stanford Dragon,dragon_10k,10000,LongestAxisCentroid,-,render,2,1176.434080
B,Stanford Dragon,dragon_10k,10000,LongestAxisCentroid,-,render,3,1177.434960
B,Stanford Dragon,dragon_10k,10000,LongestAxisCentroid,-,render,4,1180.114120
B,Stanford Dragon,dragon_10k,10000,LongestAxisCentroid,-,render,5,1179.415240
B,Stanford Dragon,dragon_10k,10000,Median,-,build,1,4.372200
B,Stanford Dragon,dragon_10k,10000,Median,-,build,2,4.429900
B,Stanford Dragon,dragon_10k,10000,Median,-,build,3,5.623700
B,Stanford Dragon,dragon_10k,10000,Median,-,build,4,4.434100
B,Stanford Dragon,dragon_10k,10000,Median,-,build,5,4.423800
B,Stanford Dragon,dragon_10k,10000,Median,-,render,1,520.252760
B,Stanford Dragon,dragon_10k,10000,Median,-,render,2,519.597160
B,Stanford Dragon,dragon_10k,10000,Median,-,render,3,523.745800
B,Stanford Dragon,dragon_10k,10000,Median,-,render,4,519.561840
B,Stanford Dragon,dragon_10k,10000,Median,-,render,5,519.472520
